X Category,Importance
artist_followers,0.11402981750364134
speechiness,0.07633297297243191
duration_ms,0.06355732635491403
danceability,0.05975549861274011
loudness,0.05938533549380426
energy,0.05798084001545861
tempo,0.05768442959001244
acoustics,0.05668959059382075
valence,0.05448196543984888
liveliness,0.05093743131673892
release_year,0.041475761945637776
tracks_in_album,0.03879731131035599
instrumentalness,0.03650534392997947
key_music,0.034734925098038806
popularity,0.02985342294031789
explicit_TRUE,0.027383622465853186
explicit_FALSE,0.02586774206163653
track_number,0.022799210877694348
mode_music_False,0.008772556647347057
mode_music_True,0.008744748878228315
country_France,0.006299791675930923
time_signature,0.005247438448592652
album_single_album,0.0048825377248559055
album_single_single,0.004214472567425864
country_Finland,0.0033796902539304117
country_Sweden,0.002934337425695864
country_Netherlands,0.0029084815149190654
country_Taiwan,0.002832254076014134
country_Brazil,0.0026353053726531597
country_Chile,0.0024820618653798748
country_Spain,0.0022073119074480898
country_UK,0.002148374500723923
country_Germany,0.001999265533621759
country_Poland,0.0019132201168969426
country_Italy,0.0018843635311692481
country_Norway,0.001754157458662333
country_USA,0.0015521299211347416
country_Denmark,0.0015029717558630836
country_Switzerland,0.0014656057758724234
country_Philippines,0.0013425739123990787
country_Austria,0.00133693936249178
country_Turkey,0.00132391141346025
country_Indonesia,0.0012647020066565721
album_single_compilation,0.001248421232728949
country_Belgium,0.0011974243817033906
country_Mexico,0.0011720519129110657
country_Argentina,0.0011376743346067707
country_Colombia,0.0010972215889823978
country_Ireland,0.0010760863692964185
country_Malaysia,0.0010637419245416002
country_Canada,0.001013885792449713
country_Peru,0.0008609176457749172
country_Portugal,0.0008599762788412306
country_Australia,0.0007742200963728268
country_Ecuador,0.0007462209463600415
country_Singapore,0.0007305336344872211
country_Costa Rica,0.0007278763544963381
country_Global,0.0005203899562930374
country_New Zealand,0.0004916053798550533
