Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release
USA,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj,13593.9,get right witcha,Migos,0,atl hip hop,10919803,0,Culture,1/27/2017,5,13,0.95,0.743,10,-5.861,0,0.238,0.0646,1.19E-05,0.103,0.62,136.98,257546,4,hip hop,1383
Austria,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj,12,get right witcha,Migos,0,atl hip hop,10919803,0,Culture,1/27/2017,5,13,0.95,0.743,10,-5.861,0,0.238,0.0646,1.19E-05,0.103,0.62,136.98,257546,4,hip hop,1383
Belgium,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj,36,get right witcha,Migos,0,atl hip hop,10919803,0,Culture,1/27/2017,5,13,0.95,0.743,10,-5.861,0,0.238,0.0646,1.19E-05,0.103,0.62,136.98,257546,4,hip hop,1383
Canada,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj,21315.8,get right witcha,Migos,0,atl hip hop,10919803,0,Culture,1/27/2017,5,13,0.95,0.743,10,-5.861,0,0.238,0.0646,1.19E-05,0.103,0.62,136.98,257546,4,hip hop,1383
Switzerland,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj,350.35,get right witcha,Migos,0,atl hip hop,10919803,0,Culture,1/27/2017,5,13,0.95,0.743,10,-5.861,0,0.238,0.0646,1.19E-05,0.103,0.62,136.98,257546,4,hip hop,1383
Poland,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj,9.6,get right witcha,Migos,0,atl hip hop,10919803,0,Culture,1/27/2017,5,13,0.95,0.743,10,-5.861,0,0.238,0.0646,1.19E-05,0.103,0.62,136.98,257546,4,hip hop,1383
Denmark,https://open.spotify.com/track/1OZwbLUHm7Gm2PrAuvN084,68,drikkes væk,Ude Af Kontrol,0,dakke dak,57687,0,Under Al Kritik,10/12/2018,9,17,0.95,0.722,4,-9.363,0,0.114,0.0222,1.76E-06,0.135,0.936,127.958,170625,4,dance/electronic,764
UK,https://open.spotify.com/track/0QJRDx111g3E2GfM24DMyo,65.6,addicts,Unknown T - M Huncho,0,grime,115000,0,Rise Above Hate,7/17/2020,3,16,0.95,0.426,3,-8.108,1,0.119,0.0627,0,0.0989,0.683,125.005,216480,4,dance/electronic,120
Italy,https://open.spotify.com/track/3a3EzSxWvDno8RpTMv7Xch,18537,candy,VillaBanks - Valepain - Linch - Bovychulo,0,italian hip hop,52295,0,Non Lo So,9/30/2019,4,10,0.95,0.594,7,-6.651,1,0.283,0.338,0,0.0955,0.632,103.012,142718,4,hip hop,411
Netherlands,https://open.spotify.com/track/3QRFJJ4ZBwaSSR5ozuT11Q,105.4,let the tits out,De Jeugd Van Tegenwoordig,0,dutch hip hop,123259,0,Anders (Different),11/9/2018,2,12,0.949,0.663,3,-8.277,0,0.0504,0.00223,0.000722,0.0918,0.757,130.011,218053,4,hip hop,736
UK,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,278,the real slim shady,Eminem,0,detroit hip hop,39078037,0,The Marshall Mathers LP,5/23/2000,8,18,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4,hip hop,7471
Australia,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,123.2,the real slim shady,Eminem,0,detroit hip hop,39078037,0,The Marshall Mathers LP,5/23/2000,8,18,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4,hip hop,7471
