Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release
Global,https://open.spotify.com/track/5hx4FpDZOnDVYlyoG3rMks,80,peek a boo,Lil Yachty - Migos,0,atl hip hop,6648019,0,Teenage Emotions,5/26/2017,3,21,0.957,0.588,1,-6.984,1,0.295,0.0612,0,0.0962,0.298,127.055,246325,4,hip hop,1265
USA,https://open.spotify.com/track/5hx4FpDZOnDVYlyoG3rMks,2562.55,peek a boo,Lil Yachty - Migos,0,atl hip hop,6648019,0,Teenage Emotions,5/26/2017,3,21,0.957,0.588,1,-6.984,1,0.295,0.0612,0,0.0962,0.298,127.055,246325,4,hip hop,1265
Canada,https://open.spotify.com/track/5hx4FpDZOnDVYlyoG3rMks,1010.4,peek a boo,Lil Yachty - Migos,0,atl hip hop,6648019,0,Teenage Emotions,5/26/2017,3,21,0.957,0.588,1,-6.984,1,0.295,0.0612,0,0.0962,0.298,127.055,246325,4,hip hop,1265
Belgium,https://open.spotify.com/track/1EmA0Vy52T84bObOEOPWsB,94.4,lair du temps,Nekfeu - Framal - Doums,0,french hip hop,1515461,0,Les étoiles vagabondes : expansion,6/21/2019,9,34,0.957,0.412,5,-10.359,0,0.408,0.47,8.36E-06,0.134,0.654,106.007,171627,4,hip hop,512
Switzerland,https://open.spotify.com/track/1EmA0Vy52T84bObOEOPWsB,38.4,lair du temps,Nekfeu - Framal - Doums,0,french hip hop,1515461,0,Les étoiles vagabondes : expansion,6/21/2019,9,34,0.957,0.412,5,-10.359,0,0.408,0.47,8.36E-06,0.134,0.654,106.007,171627,4,hip hop,512
France,https://open.spotify.com/track/1EmA0Vy52T84bObOEOPWsB,2121.8,lair du temps,Nekfeu - Framal - Doums,0,french hip hop,1515461,0,Les étoiles vagabondes : expansion,6/21/2019,9,34,0.957,0.412,5,-10.359,0,0.408,0.47,8.36E-06,0.134,0.654,106.007,171627,4,hip hop,512
USA,https://open.spotify.com/track/0W1ZfgXpC23RYQPDq7RM5I,542.7,pink toes,Quality Control - Offset - DaBaby - Gunna,0,hip hop,676267,0,Quality Control: Control The Streets Volume 2,8/16/2019,9,36,0.957,0.767,0,-5.116,1,0.115,0.0525,0,0.117,0.577,110.508,217220,4,hip hop,456
Canada,https://open.spotify.com/track/0W1ZfgXpC23RYQPDq7RM5I,36.8,pink toes,Quality Control - Offset - DaBaby - Gunna,0,hip hop,676267,0,Quality Control: Control The Streets Volume 2,8/16/2019,9,36,0.957,0.767,0,-5.116,1,0.115,0.0525,0,0.117,0.577,110.508,217220,4,hip hop,456
Sweden,https://open.spotify.com/track/4BY2U2pxOXOlHEPQdWFhMN,1974.2,para e makt,Z.E,0,swedish gangsta rap,111735,0,MER ÄN RAP,7/3/2019,1,7,0.957,0.512,5,-8.115,0,0.347,0.577,0,0.083,0.51,107.989,153333,4,rap,500
France,https://open.spotify.com/track/7439REnnov7d5h0P419Nk2,4617.6,pow pow,Jul,0,francoton,3127974,0,C'est pas des LOL,12/6/2019,13,38,0.956,0.719,3,-6.034,0,0.0667,0.115,2.89E-06,0.0986,0.556,126.017,185320,4,indie,344
